country,year,tiv
South Vietnam,1950,
South Vietnam,1951,
South Vietnam,1952,
South Vietnam,1953,
South Vietnam,1954,
South Vietnam,1955,
South Vietnam,1956,
South Vietnam,1957,
South Vietnam,1958,
South Vietnam,1959,
South Vietnam,1960,
South Vietnam,1961,
South Vietnam,1962,
South Vietnam,1963,
South Vietnam,1964,
South Vietnam,1965,
South Vietnam,1966,
South Vietnam,1967,
South Vietnam,1968,
South Vietnam,1969,
South Vietnam,1970,10
South Vietnam,1971,
South Vietnam,1972,
South Vietnam,1973,
South Vietnam,1974,
South Vietnam,1975,
South Vietnam,1976,
South Vietnam,1977,
South Vietnam,1978,
South Vietnam,1979,
South Vietnam,1980,
South Vietnam,1981,
South Vietnam,1982,
South Vietnam,1983,
South Vietnam,1984,
South Vietnam,1985,
South Vietnam,1986,
South Vietnam,1987,
South Vietnam,1988,
South Vietnam,1989,
South Vietnam,1990,
South Vietnam,1991,
South Vietnam,1992,
South Vietnam,1993,
South Vietnam,1994,
South Vietnam,1995,
South Vietnam,1996,
South Vietnam,1997,
South Vietnam,1998,
South Vietnam,1999,
South Vietnam,2000,
South Vietnam,2001,
South Vietnam,2002,
South Vietnam,2003,
South Vietnam,2004,
South Vietnam,2005,
South Vietnam,2006,
South Vietnam,2007,
South Vietnam,2008,
South Vietnam,2009,
South Vietnam,2010,
South Vietnam,2011,
South Vietnam,2012,
South Vietnam,2013,
South Vietnam,2014,
South Vietnam,2015,
South Vietnam,2016,
South Vietnam,2017,
South Vietnam,2018,
South Vietnam,2019,
South Vietnam,2020,
South Vietnam,2021,
South Vietnam,2022,
South Vietnam,2023,
South Vietnam,2024,
South Vietnam,2025,
